file_name,positive_percent,value
296_TMA_IHC_TumorCenter_CD3_0.png,5.945,6.4756274
296_TMA_IHC_TumorCenter_CD3_1.png,,1.6024777
296_TMA_IHC_TumorCenter_CD8_0.png,1.044,1.2888412
296_TMA_IHC_TumorCenter_CD8_1.png,0.7938,3.571513
296_TMA_IHC_TumorCenter_CD56_0.png,18.76,11.070098
296_TMA_IHC_TumorCenter_CD56_1.png,0.0994,1.8174895
296_TMA_IHC_TumorCenter_CD68_0.png,11.63,10.313174
296_TMA_IHC_TumorCenter_CD68_1.png,8.545,12.489892
296_TMA_IHC_TumorCenter_CD163_0.png,10.52,7.30567
296_TMA_IHC_TumorCenter_CD163_1.png,7.271,8.683038
296_TMA_IHC_TumorCenter_MHC1_0.png,0.3106,0.0048362296
296_TMA_IHC_TumorCenter_MHC1_1.png,0.784,2.3444574
296_TMA_IHC_TumorCenter_PDL1_0.png,3.939,7.1948743
296_TMA_IHC_TumorCenter_PDL1_1.png,0.5997,3.7494724
296_TMA_IHC_InvasionFront_CD3_0.png,2.866,5.219382
296_TMA_IHC_InvasionFront_CD3_1.png,2.942,3.8953414
296_TMA_IHC_InvasionFront_CD8_0.png,8.654,7.4241533
296_TMA_IHC_InvasionFront_CD8_1.png,3.714,3.514528
296_TMA_IHC_InvasionFront_CD56_0.png,0.5637,0.7818119
296_TMA_IHC_InvasionFront_CD56_1.png,2.836,1.4412478
296_TMA_IHC_InvasionFront_CD68_0.png,16.38,16.16607
296_TMA_IHC_InvasionFront_CD68_1.png,11.16,11.8221245
296_TMA_IHC_InvasionFront_CD163_0.png,25.82,18.758816
296_TMA_IHC_InvasionFront_CD163_1.png,17.96,11.861079
296_TMA_IHC_InvasionFront_MHC1_0.png,0.737,1.0667698
296_TMA_IHC_InvasionFront_MHC1_1.png,1.675,1.2028526
296_TMA_IHC_InvasionFront_PDL1_0.png,4.843,3.5506124
296_TMA_IHC_InvasionFront_PDL1_1.png,12.24,8.621661
346_TMA_IHC_TumorCenter_CD3_0.png,10.83,10.518739
346_TMA_IHC_TumorCenter_CD3_1.png,11.89,12.662372
346_TMA_IHC_TumorCenter_CD8_0.png,3.773,3.8387616
346_TMA_IHC_TumorCenter_CD8_1.png,5.453,6.1041026
346_TMA_IHC_TumorCenter_CD56_0.png,0.5301,0.80359244
346_TMA_IHC_TumorCenter_CD56_1.png,2.347,2.4390914
346_TMA_IHC_TumorCenter_CD68_0.png,9.701,9.15219
346_TMA_IHC_TumorCenter_CD68_1.png,19.17,16.598755
346_TMA_IHC_TumorCenter_CD163_0.png,8.137,4.9762254
346_TMA_IHC_TumorCenter_CD163_1.png,15.79,10.968963
346_TMA_IHC_TumorCenter_MHC1_0.png,0.1239,2.1007345
346_TMA_IHC_TumorCenter_MHC1_1.png,2.165,7.1217637
346_TMA_IHC_TumorCenter_PDL1_0.png,1.539,3.7269952
346_TMA_IHC_TumorCenter_PDL1_1.png,5.751,9.377805
346_TMA_IHC_InvasionFront_CD3_0.png,11.85,10.442299
346_TMA_IHC_InvasionFront_CD3_1.png,8.889,9.115748
346_TMA_IHC_InvasionFront_CD8_0.png,10.19,8.149162
346_TMA_IHC_InvasionFront_CD8_1.png,4.477,4.394908
346_TMA_IHC_InvasionFront_CD56_0.png,1.198,1.3376223
346_TMA_IHC_InvasionFront_CD56_1.png,0.5594,0.17550984
346_TMA_IHC_InvasionFront_CD68_0.png,13.67,14.462892
346_TMA_IHC_InvasionFront_CD68_1.png,9.564,12.45162
346_TMA_IHC_InvasionFront_CD163_0.png,22.95,19.37325
346_TMA_IHC_InvasionFront_CD163_1.png,24.01,17.917788
346_TMA_IHC_InvasionFront_MHC1_0.png,21.07,16.458202
346_TMA_IHC_InvasionFront_MHC1_1.png,24.5,11.136872
346_TMA_IHC_InvasionFront_PDL1_0.png,6.89,5.788774
346_TMA_IHC_InvasionFront_PDL1_1.png,8.08,3.351011
530_TMA_IHC_TumorCenter_CD3_0.png,7.795,7.6741624
530_TMA_IHC_TumorCenter_CD3_1.png,9.596,10.752492
530_TMA_IHC_TumorCenter_CD8_0.png,5.191,6.0441294
530_TMA_IHC_TumorCenter_CD8_1.png,9.14,9.367831
530_TMA_IHC_TumorCenter_CD56_0.png,0.5901,0.4528999
530_TMA_IHC_TumorCenter_CD56_1.png,0.1876,0.5575888
530_TMA_IHC_TumorCenter_CD68_0.png,7.723,5.1674733
530_TMA_IHC_TumorCenter_CD68_1.png,14.46,12.848288
530_TMA_IHC_TumorCenter_CD163_0.png,4.621,2.5850446
530_TMA_IHC_TumorCenter_CD163_1.png,9.232,4.894262
530_TMA_IHC_TumorCenter_MHC1_0.png,1.185,1.2935568
530_TMA_IHC_TumorCenter_MHC1_1.png,1.103,2.2951722
530_TMA_IHC_TumorCenter_PDL1_0.png,0.5077,0.6880246
530_TMA_IHC_TumorCenter_PDL1_1.png,1.281,0.703019
530_TMA_IHC_InvasionFront_CD3_0.png,3.739,4.5517344
530_TMA_IHC_InvasionFront_CD3_1.png,2.409,2.3964083
530_TMA_IHC_InvasionFront_CD8_0.png,9.164,10.340979
530_TMA_IHC_InvasionFront_CD8_1.png,7.995,5.5587544
530_TMA_IHC_InvasionFront_CD56_0.png,0.3175,0.09720729
530_TMA_IHC_InvasionFront_CD56_1.png,0.2797,0.133567
530_TMA_IHC_InvasionFront_CD68_0.png,4.253,3.7457364
530_TMA_IHC_InvasionFront_CD68_1.png,4.85,4.4517417
530_TMA_IHC_InvasionFront_CD163_0.png,1.668,0.9060963
530_TMA_IHC_InvasionFront_CD163_1.png,2.366,1.8374788
530_TMA_IHC_InvasionFront_MHC1_0.png,6.459,4.7240005
530_TMA_IHC_InvasionFront_MHC1_1.png,8.125,6.442707
530_TMA_IHC_InvasionFront_PDL1_0.png,1.395,4.057298
530_TMA_IHC_InvasionFront_PDL1_1.png,1.201,2.5409806
120_TMA_IHC_TumorCenter_CD3_0.png,17.17,14.412775
120_TMA_IHC_TumorCenter_CD3_1.png,,18.390652
120_TMA_IHC_TumorCenter_CD8_0.png,7.092,7.9659553
120_TMA_IHC_TumorCenter_CD8_1.png,7.183,7.6402483
120_TMA_IHC_TumorCenter_CD56_0.png,1.252,0.78372264
120_TMA_IHC_TumorCenter_CD56_1.png,1.196,0.9697204
120_TMA_IHC_TumorCenter_CD68_0.png,8.457,4.956364
120_TMA_IHC_TumorCenter_CD68_1.png,13.5,12.3698435
120_TMA_IHC_TumorCenter_CD163_0.png,11.08,5.9809594
120_TMA_IHC_TumorCenter_CD163_1.png,14.03,10.6364
120_TMA_IHC_TumorCenter_MHC1_0.png,4.577,2.5632918
120_TMA_IHC_TumorCenter_MHC1_1.png,2.146,0.8345354
120_TMA_IHC_TumorCenter_PDL1_0.png,3.219,2.640971
120_TMA_IHC_TumorCenter_PDL1_1.png,2.318,2.4436646
120_TMA_IHC_InvasionFront_CD3_0.png,10.01,14.939727
120_TMA_IHC_InvasionFront_CD3_1.png,13.45,12.064445
120_TMA_IHC_InvasionFront_CD8_0.png,25.54,24.631702
120_TMA_IHC_InvasionFront_CD8_1.png,23.82,19.746166
120_TMA_IHC_InvasionFront_CD56_0.png,3.468,2.3254454
120_TMA_IHC_InvasionFront_CD56_1.png,2.463,1.1743609
120_TMA_IHC_InvasionFront_CD68_0.png,12.94,11.011872
120_TMA_IHC_InvasionFront_CD68_1.png,9.891,8.884927
120_TMA_IHC_InvasionFront_CD163_0.png,14.65,10.086837
120_TMA_IHC_InvasionFront_CD163_1.png,13.24,9.917001
120_TMA_IHC_InvasionFront_MHC1_0.png,7.249,8.734833
120_TMA_IHC_InvasionFront_MHC1_1.png,16.86,8.586333
120_TMA_IHC_InvasionFront_PDL1_0.png,16.76,13.200366
120_TMA_IHC_InvasionFront_PDL1_1.png,12.56,9.476838
357_TMA_IHC_TumorCenter_CD3_0.png,5.641,4.8399944
357_TMA_IHC_TumorCenter_CD3_1.png,14.18,9.81294
357_TMA_IHC_TumorCenter_CD8_0.png,1.901,3.0849268
357_TMA_IHC_TumorCenter_CD8_1.png,4.713,4.60205
357_TMA_IHC_TumorCenter_CD56_0.png,1.295,2.8573782
357_TMA_IHC_TumorCenter_CD56_1.png,1.952,2.6301959
357_TMA_IHC_TumorCenter_CD68_0.png,14.52,15.756419
357_TMA_IHC_TumorCenter_CD68_1.png,16.36,15.012493
357_TMA_IHC_TumorCenter_CD163_0.png,14.86,19.2501
357_TMA_IHC_TumorCenter_CD163_1.png,10.21,8.70785
357_TMA_IHC_TumorCenter_MHC1_0.png,0.3148,1.9702839
357_TMA_IHC_TumorCenter_MHC1_1.png,3.55,3.894563
357_TMA_IHC_TumorCenter_PDL1_0.png,0.2734,1.912118
357_TMA_IHC_TumorCenter_PDL1_1.png,3.91,5.380433
357_TMA_IHC_InvasionFront_CD3_0.png,1.922,2.5331209
357_TMA_IHC_InvasionFront_CD3_1.png,1.026,2.3008847
357_TMA_IHC_InvasionFront_CD8_0.png,4.104,2.996188
357_TMA_IHC_InvasionFront_CD8_1.png,1.526,1.7473682
357_TMA_IHC_InvasionFront_CD56_0.png,0.2979,0.445463
357_TMA_IHC_InvasionFront_CD56_1.png,0.4426,0.36445916
357_TMA_IHC_InvasionFront_CD68_0.png,6.436,5.7490287
357_TMA_IHC_InvasionFront_CD68_1.png,7.327,8.347461
357_TMA_IHC_InvasionFront_CD163_0.png,4.868,3.2360482
357_TMA_IHC_InvasionFront_CD163_1.png,5.229,4.5304523
357_TMA_IHC_InvasionFront_MHC1_0.png,4.355,9.046878
357_TMA_IHC_InvasionFront_MHC1_1.png,6.583,7.444207
357_TMA_IHC_InvasionFront_PDL1_0.png,13.7,18.878115
357_TMA_IHC_InvasionFront_PDL1_1.png,16.6,15.954865
342_TMA_IHC_TumorCenter_CD3_0.png,2.608,4.1265187
342_TMA_IHC_TumorCenter_CD3_1.png,6.077,6.834863
342_TMA_IHC_TumorCenter_CD8_0.png,2.68,3.4168718
342_TMA_IHC_TumorCenter_CD8_1.png,3.529,3.871029
342_TMA_IHC_TumorCenter_CD56_0.png,1.292,1.6475252
342_TMA_IHC_TumorCenter_CD56_1.png,0.6607,1.3222939
342_TMA_IHC_TumorCenter_CD68_0.png,5.895,6.963147
342_TMA_IHC_TumorCenter_CD68_1.png,2.733,4.432483
342_TMA_IHC_TumorCenter_CD163_0.png,1.485,2.546049
342_TMA_IHC_TumorCenter_CD163_1.png,1.225,1.3788635
342_TMA_IHC_TumorCenter_MHC1_0.png,0.6387,0.39700374
342_TMA_IHC_TumorCenter_MHC1_1.png,0.8497,0.43211225
342_TMA_IHC_TumorCenter_PDL1_0.png,5.604,8.6346245
342_TMA_IHC_TumorCenter_PDL1_1.png,6.283,9.267642
342_TMA_IHC_InvasionFront_CD3_0.png,1.305,2.355685
342_TMA_IHC_InvasionFront_CD3_1.png,2.385,3.563595
342_TMA_IHC_InvasionFront_CD8_0.png,2.749,3.827932
342_TMA_IHC_InvasionFront_CD8_1.png,4.693,4.799151
342_TMA_IHC_InvasionFront_CD56_0.png,4.077,3.2415152
342_TMA_IHC_InvasionFront_CD56_1.png,1.746,1.7286222
342_TMA_IHC_InvasionFront_CD68_0.png,2.971,6.2924676
342_TMA_IHC_InvasionFront_CD68_1.png,3.109,4.557158
342_TMA_IHC_InvasionFront_CD163_0.png,3.097,4.3133845
342_TMA_IHC_InvasionFront_CD163_1.png,0.469,0.9546677
342_TMA_IHC_InvasionFront_MHC1_0.png,0.2468,0.57658774
342_TMA_IHC_InvasionFront_MHC1_1.png,3.444,0.5940246
342_TMA_IHC_InvasionFront_PDL1_0.png,0.2348,4.381406
342_TMA_IHC_InvasionFront_PDL1_1.png,3.282,5.4097714
741_TMA_IHC_TumorCenter_CD3_0.png,2.153,2.810467
741_TMA_IHC_TumorCenter_CD3_1.png,3.066,4.1600394
741_TMA_IHC_TumorCenter_CD8_0.png,1.054,1.4009212
741_TMA_IHC_TumorCenter_CD8_1.png,1.19,1.3327924
741_TMA_IHC_TumorCenter_CD56_0.png,0.0498,0.46077928
741_TMA_IHC_TumorCenter_CD56_1.png,0.2259,0.37123352
741_TMA_IHC_TumorCenter_CD68_0.png,3.771,3.9923918
741_TMA_IHC_TumorCenter_CD68_1.png,5.522,4.8021894
741_TMA_IHC_TumorCenter_CD163_0.png,4.275,4.2871556
741_TMA_IHC_TumorCenter_CD163_1.png,8.448,5.802347
741_TMA_IHC_TumorCenter_MHC1_0.png,2.847,9.529502
741_TMA_IHC_TumorCenter_MHC1_1.png,3.457,7.4956536
741_TMA_IHC_TumorCenter_PDL1_0.png,0.0957,1.1358594
741_TMA_IHC_TumorCenter_PDL1_1.png,0.3393,0.9191925
741_TMA_IHC_InvasionFront_CD3_0.png,3.039,2.9069881
741_TMA_IHC_InvasionFront_CD3_1.png,2.64,3.0878747
741_TMA_IHC_InvasionFront_CD8_0.png,2.734,1.9065751
741_TMA_IHC_InvasionFront_CD8_1.png,1.613,1.7232567
741_TMA_IHC_InvasionFront_CD56_0.png,0.4249,0.33335945
741_TMA_IHC_InvasionFront_CD56_1.png,0.3101,0.21018165
741_TMA_IHC_InvasionFront_CD68_0.png,5.275,4.1081166
741_TMA_IHC_InvasionFront_CD68_1.png,5.083,5.142611
741_TMA_IHC_InvasionFront_CD163_0.png,6.477,4.6455607
741_TMA_IHC_InvasionFront_CD163_1.png,6.436,4.560019
741_TMA_IHC_InvasionFront_MHC1_0.png,10.58,11.675942
741_TMA_IHC_InvasionFront_MHC1_1.png,7.432,15.519269
741_TMA_IHC_InvasionFront_PDL1_0.png,2.252,3.0809622
741_TMA_IHC_InvasionFront_PDL1_1.png,2.232,3.3062289
476_TMA_IHC_TumorCenter_CD3_0.png,15.18,14.572776
476_TMA_IHC_TumorCenter_CD3_1.png,23.77,20.930525
476_TMA_IHC_TumorCenter_CD8_0.png,4.108,4.726374
476_TMA_IHC_TumorCenter_CD8_1.png,8.836,7.8236012
476_TMA_IHC_TumorCenter_CD56_0.png,3.125,4.1652617
